,query,results,text
0,Who owns the IPL teams?,ipl teams,आईपीएल टीमों का मालिक कौन है?
1,When is IPL going to happen in 2022,ipl going happen,2022 में IPL कब होने वाला है
2,How many times has MI won in IPL,times mi ipl,MI ने IPL में कितनी बार जीता है
3,Who is the captain of RCB,captain rcb,कौन है आरसीबी का कप्तान
4,world cup fifa 2022 schedule,world cup fifa,वर्ल्ड कप फीफा 2022 शेड्यूल
5,world cup 2022 schedule,world cup,वर्ल्ड कप 2022 शेड्यूल
6,fifa world cup schedule,fifa world cup,फीफा विश्व कप कार्यक्रम
7,fifa world cup 2022 live,fifa world cup,फीफा विश्व कप 2022 लाइव
8,fifa world cup live,fifa world cup,फीफा विश्व कप लाइव
9,fifa world cup table,fifa world cup,फीफा विश्व कप तालिका
10,fifa world cup 2022 match,fifa world cup,फीफा विश्व कप 2022 मैच
11,fifa world cup table 2022,fifa world cup,फीफा विश्व कप तालिका 2022
12,world cup 2022 fixtures,world cup,विश्व कप 2022 जुड़नार
13,fifa world cup fixtures 2022,fifa world cup,फीफा विश्व कप जुड़नार 2022
14,fifa world cup 2022 india,fifa world cup,फीफा विश्व कप 2022 भारत
15,fifa world cup fixtures,fifa world cup,फीफा विश्व कप जुड़नार
16,football fifa world cup 2022,football fifa world,फुटबॉल फीफा विश्व कप 2022
17,world cup football 2022,world cup football,विश्व कप फुटबॉल 2022
18,fifa world cup 2022 list,fifa world cup,फीफा विश्व कप 2022 सूची
19,fifa qatar world cup 2022,fifa qatar world,फीफा कतर विश्व कप 2022
20,qatar,qatar,कतर
21,world cup qatar 2022,world cup qatar,विश्व कप कतर 2022
22,qatar world cup 2022,qatar world cup,कतर विश्व कप 2022
23,argentina,argentina,अर्जेंटीना
24,qatar world cup,qatar world cup,कतर विश्व कप
25,fifa world cup points table 2022,fifa world cup,फीफा विश्व कप अंक तालिका 2022
26,fifa points table,fifa points table,फीफा अंक तालिका
27,fifa world cup 2022 score,fifa world cup,फीफा विश्व कप 2022 स्कोर
28,fifa world cup points table,fifa world cup,फीफा विश्व कप अंक तालिका
29,cowin in,cowin,काउइन इन
30,certificate,certificate,प्रमाणपत्र
31,cowin certificate,cowin certificate,काउइन प्रमाण पत्र
32,cowin gov,cowin gov,काउइन सरकार
33,cowin gov in,cowin gov,काउइन गोव इन
34,cowin download,cowin download,डाउनलोड करें
35,cowin registration,cowin registration,कोविन पंजीकरण
36,download cowin certificate,download cowin certificate,काउइन सर्टिफिकेट डाउनलोड करें
37,cowin app,cowin app,काउइन ऐप
38,vaccine,vaccine,टीका
39,cowin login,cowin login,काउइन लॉगिन
40,cowin vaccine,cowin vaccine,गाय का टीका
41,cowin application,cowin application,काउइन आवेदन
42,cowin portal,cowin portal,काउइन पोर्टल
43,covid,covid,कोविड
44,vaccine certificate,vaccine certificate,टीका प्रमाण पत्र
45,cowin vaccine certificate,cowin vaccine certificate,गाय का टीका प्रमाण पत्र
46,cowin gov. in,cowin gov,काउइन सरकार। में
47,covid-19,covid-19 ,कोविड-19
48,vaccination,vaccination,टीकाकरण
49,covid certificate,covid certificate,कोविड प्रमाण पत्र
50,cowin vaccination,cowin vaccination,गाय का टीकाकरण
51,cowin. in,cowin,काउइन। में
52,covid vaccine,covid vaccine,कोविड का टीका
53,cowin. gov. in,cowin gov,काउइन। गवर्नर में
54,booster dose cowin,booster dose cowin,बूस्टर खुराक काउइन
55,booster dose,booster dose,खुराक बढ़ाएं
56,cowin booster dose registration,cowin booster dose,काउइन बूस्टर खुराक पंजीकरण
57,cowin registration 15 to 18 years,cowin registration,गाय का पंजीकरण 15 से 18 वर्ष
58,id maker,maker,आईडी निर्माता
59,cowin 3rd dose registration,dose registration,काउइन तीसरी खुराक पंजीकरण
60,cowin department login,cowin department login,काउइन विभाग लॉगिन
61,vaccine certificate download by aadhaar number,vaccine certificate download,आधार संख्या द्वारा टीका प्रमाण पत्र डाउनलोड करें
62,cowin certificate download by aadhaar number,cowin certificate download,काउइन सर्टिफिकेट आधार नंबर से डाउनलोड करें
63,universal pass,universal pass,यूनिवर्सल पास
64,cowin admin login,cowin admin login,काउइन व्यवस्थापक लॉगिन
65,cowin universal pass,cowin universal pass,काउइन यूनिवर्सल पास
66,cowin certificate download by mobile number,cowin certificate download,काउइन सर्टिफिकेट मोबाइल नंबर से डाउनलोड करें
67,download cowin certificate,download cowin certificate,काउइन सर्टिफिकेट डाउनलोड करें
68,covid certificate,covid certificate,कोविड प्रमाण पत्र
69,certificate,certificate,प्रमाणपत्र
70,cowin certificate,cowin certificate,काउइन प्रमाण पत्र
71,cowin download,cowin download,डाउनलोड करें
72,cowin vaccinator,cowin vaccinator,गाय का टीका लगाने वाला
73,cowin vaccine certificate download,cowin vaccine certificate,काउइन वैक्सीन सर्टिफिकेट डाउनलोड
74,vaccine certificate download,vaccine certificate download,टीका प्रमाणपत्र डाउनलोड
75,vaccine certificate,vaccine certificate,टीका प्रमाण पत्र
76,cowin vaccine certificate,cowin vaccine certificate,गाय का टीका प्रमाण पत्र
77,covid-19,covid-19 ,कोविड-19
78,cowin application,cowin application,काउइन आवेदन
79,what is nato in ukraine,nato ukraine,यूक्रेन में नाटो क्या है
80,ukraine and russia,ukraine russia,यूक्रेन और रूस
81,ukraine war,ukraine war,यूक्रेन युद्ध
82,ukraine news,ukraine,यूक्रेन समाचार
83,what is ukraine russia conflict,ukraine russia conflict,यूक्रेन रूस संघर्ष क्या है
84,russia ukraine conflict,russia ukraine conflict,रूस यूक्रेन संघर्ष
85,is india part of nato,india part nato,भारत नाटो का हिस्सा है
86,reason for russia ukraine war,reason russia ukraine,रूस यूक्रेन युद्ध के कारण
87,ukraine map,ukraine map,यूक्रेन का नक्शा
88,is russia part of nato,russia part nato,रूस नाटो का हिस्सा है
89,world map,world map,दुनिया का नक्शा
90,ukraine president,ukraine president,यूक्रेन राष्ट्रपति
91,is ukraine part of nato,ukraine part nato,यूक्रेन नाटो का हिस्सा है
92,russia president,russia president,रूस के राष्ट्रपति
93,president of ukraine,president ukraine,यूक्रेन के राष्ट्रपति
94,reason for ukraine and russia war,reason ukraine russia,यूक्रेन और रूस युद्ध के कारण
95,what is veto power,veto power,वीटो पावर क्या है
96,what is the reason for russia and ukraine war,reason russia ukraine,रूस और यूक्रेन युद्ध का कारण क्या है
97,president of russia,president russia,रूस के राष्ट्रपति
98,russia and ukraine news,russia ukraine,रूस और यूक्रेन समाचार
99,nato kya hai,nato kya hai,नाटो क्या है
100,what is metaverse technology,metaverse technology,मेटावर्स तकनीक क्या है
101,which world-famous film series is celebrated every year on may 4th?,world-famous film series,हर साल 4 मई को कौन सी विश्व प्रसिद्ध फिल्म श्रृंखला मनाई जाती है?
102,who is the only indian actor on the 75th cannes film festival jury which will be held in may 2022?,cannes film festival,मई 2022 में आयोजित होने वाले 75वें कान्स फिल्म फेस्टिवल जूरी में एकमात्र भारतीय अभिनेता कौन है?
103,which state was formed from the division of the bombay state on 1 may 1960?,formed division bombay,1 मई 1960 को बॉम्बे राज्य के विभाजन से कौन सा राज्य बना था?
104,vivo v23,vivo,विवो v23
105,iqoo z6,iqoo,iqoo z6
106,oneplus 10r,oneplus,वनप्लस 10आर
107,vivo latest phones 2022,vivo latest phones,विवो नवीनतम फोन 2022
108,nothing phone 1,phone,कुछ नहीं फोन 1
109,oneplus latest phones 2022,oneplus latest phones,वनप्लस नवीनतम फोन 2022
110,samsung f23 5g,samsung,सैमसंग f23 5g
111,iqoo z6 pro,iqoo,इको Z6 प्रो
112,oneplus nord 2t,oneplus nord,वनप्लस नॉर्ड 2टी
113,poco x4 pro 5g,poco,पोजो केसीएच प्रो 5 साल
114,oppo k10,oppo,पूंछ k10
115,best flagship phones 2022,flagship phones,सर्वश्रेष्ठ फ्लैगशिप फोन 2022
116,poco m4 pro 5g,poco,पोजो एमसीएच प्रो 5 साल
117,moto g52,moto,उनकी मौत से हड़कंप मच गया
118,latest phones 2022,latest phones,नवीनतम फोन 2022
119,vivo t1,vivo,लाइव टी1
120,realme latest phones 2022,realme latest phones,realme नवीनतम फोन 2022
121,latest mobile phones 2022,latest mobile phones,नवीनतम मोबाइल फोन 2022
122,oneplus nord ce2,oneplus nord,वनप्लस नॉर्ड सीई2
123,vivo t1 5g,vivo,वीवो टी1 5जी
124,8 gen 1 phones,gen,8 जेन 1 फोन
125,samsung latest phones 2022,samsung latest phones,सैमसंग नवीनतम फोन 2022
126,5g phones,phones,5जी फोन
127,phones under 20000,phones,20000 के तहत फोन
128,phones under 15000,phones,15000 के तहत फोन
129,realme,realme,रेआलमे
130,realme phones,realme phones,रेआलमे फ़ोन्स
131,oneplus phones,oneplus phones,वनप्लस फोन
132,oneplus,oneplus,oneplus
133,redmi,redmi,redmi
134,vivo phones,vivo phones,विवो फोन
135,redmi phones,redmi phones,रेडमी फोन
136,vivo,vivo,विवो
137,latest phones,latest phones,नवीनतम फोन
138,new phones,phones,नए फोन
139,oppo,oppo,विपक्ष
140,oppo phones,oppo phones,विपक्ष फोन
141,iphone,iphone,आई - फ़ोन
142,mobile phone,mobile phone,चल दूरभाष
143,android phones,android phones,android फोन
144,snapdragon,snapdragon,अजगर का चित्र
145,best phones,phones,सबसे अच्छा फोन
146,blue film for laptop screen,blue film laptop,लैपटॉप स्क्रीन के लिए ब्लू फिल्म
147,mp laptop yojana 2022,laptop yojana,ंप लैपटॉप योजना 2022
148,latest laptop 2022,latest laptop,नवीनतम लैपटॉप 2022
149,best laptop 2022,laptop,सर्वश्रेष्ठ नोटबुक 2022
150,i5 12th generation laptop,generation laptop,i5 12वीं पीढ़ी का लैपटॉप
151,upcmo.up.nic.in laptop 2022,laptop,upcmo.up.nic.in लैपटॉप 2022
152,infinix laptop,infinix laptop,इन्फिनिक्स लैपटॉप
153,jiobook laptop,jiobook laptop,jiobook लैपटॉप
154,hp victus,victus,एचपी हार गया
155,technoquiz.net laptop,technoquiz.net laptop,technoquiz.net लैपटॉप
156,how to download youtube video on laptop,download youtube video,लैपटॉप में यूट्यूब वीडियो कैसे डाउनलोड करें
157,wallpaper for laptop 4k,wallpaper laptop,लैपटॉप 4k के लिए वॉलपेपर
158,laptop wallpaper 4k,laptop wallpaper,लैपटॉप वॉलपेपर 4k
159,wallpaper for laptop,wallpaper laptop,लैपटॉप के लिए वॉलपेपर
160,aesthetic wallpaper laptop,aesthetic wallpaper laptop,सौंदर्य वॉलपेपर लैपटॉप
161,laptop wallpaper,laptop wallpaper,लैपटॉप वॉलपेपर
162,lenovo ideapad gaming 3,lenovo ideapad gaming,लेनोवो आइडियापैड गेमिंग 3
163,xiaomi laptop,xiaomi laptop,श्याओमी लैपटॉप
164,laptop bag for men,laptop bag men,पुरुषों के लिए लैपटॉप बैग
165,laptop bags for women,laptop bags women,महिलाओं के लिए लैपटॉप बैग
166,laptop bag,laptop bag,लैपटॉप बस्ता
167,how to download youtube video in laptop,download youtube video,लैपटॉप में यूट्यूब वीडियो कैसे डाउनलोड करें
168,laptop bags,laptop bags,लैपटॉप बैग
169,balmain shoes,balmain shoes,बाल्मेन जूते
170,neeman shoes,neeman shoes,नीमन जूते
171,arbunore shoes,arbunore shoes,आर्बुनोर जूते
172,zudio shoes,zudio shoes,जूडियो जूते
173,attitudist shoes,attitudist shoes,व्यवहारवादी जूते
174,prada shoes price,prada shoes price,प्रादा जूते की कीमत
175,prada shoes,prada shoes,प्रादा जूते
176,abros shoes,abros shoes,abros जूते
177,converse all star shoes,converse star shoes,कन्वर्स ऑल स्टार शूज़
178,hoka shoes,hoka shoes,अन्य सुलेख
179,converse shoes,converse shoes,जूते उल्टे करो
180,converse,converse,उलटा
181,school shoes,school shoes,स्कूल के जूते
182,red tape shoes for women,red tape shoes,महिलाओं के लिए लाल फीताशाही वाले जूते
183,cr7 shoes,shoes,cr7 जूते
